investigator_id,investigator_name,email,institution_id,study_id
INV-01,Davida Kruger,,INST-01,CGMND
INV-02,Viral Shah,,INST-01,CGMND
INV-03,Richard Bergenstal,,INST-01,CGMND
INV-04,Stephanie Woerner,,INST-01,CGMND
INV-05,David Sparling,,INST-01,CGMND
INV-06,Ruth Weinstock,,INST-01,CGMND
INV-07,Anne Peters,,INST-01,CGMND
INV-08,Jennifer Sherr,,INST-01,CGMND
INV-09,Francesco Vendrame,,INST-01,CGMND
INV-10,Michael Tansey,,INST-01,CGMND
INV-11,Sara Watson,,INST-01,CGMND
INV-12,Jennifer Dyer,,INST-01,CGMND
