fitness_meta_id,participant_id,file_name,source,file_format
FM-P-001-1,P-001,fitness_data,Wearable Device API,CSV
FM-P-002-2,P-002,fitness_data,Wearable Device API,CSV
FM-P-003-3,P-003,fitness_data,Wearable Device API,CSV
FM-P-004-4,P-004,fitness_data,Wearable Device API,CSV
FM-P-005-5,P-005,fitness_data,Wearable Device API,CSV
FM-P-006-6,P-006,fitness_data,Wearable Device API,CSV
FM-P-007-7,P-007,fitness_data,Wearable Device API,CSV
FM-P-008-8,P-008,fitness_data,Wearable Device API,CSV
FM-P-009-9,P-009,fitness_data,Wearable Device API,CSV
FM-P-010-10,P-010,fitness_data,Wearable Device API,CSV
