fitness_meta_id,participant_id,file_name,source,file_format,study_id,tenant_id
01K94J9P4F52PZEP8H8MFZFFKJ,CSWM-01K94J-1,fitness_data_CSWM-01K94J-1_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9P6BQDEFNB2KH4BKCY9K,CSWM-01K94J-2,fitness_data_CSWM-01K94J-2_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9P83J5QCAFJRQDZ5WMVM,CSWM-01K94J-3,fitness_data_CSWM-01K94J-3_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9P9VCKT38QQ6NS7SX7NP,CSWM-01K94J-4,fitness_data_CSWM-01K94J-4_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PBQ7MF3MXVZWYZPY2VN,CSWM-01K94J-5,fitness_data_CSWM-01K94J-5_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PDM15H168NQCCJ0BB13,CSWM-01K94J-6,fitness_data_CSWM-01K94J-6_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PFGKERVJ2ZM4ZRQ2A2Z,CSWM-01K94J-7,fitness_data_CSWM-01K94J-7_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PHC1GC7B96Y4XK2JG4D,CSWM-01K94J-8,fitness_data_CSWM-01K94J-8_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PK57168AEDSVGW1N7YM,CSWM-01K94J-9,fitness_data_CSWM-01K94J-9_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PN20BRP96TZ3XZAH48A,CSWM-01K94J-10,fitness_data_CSWM-01K94J-10_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PPWVVTHGHCW1NTNNF5Z,CSWM-01K94J-11,fitness_data_CSWM-01K94J-11_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PRKB221PN38CXJK3S9V,CSWM-01K94J-12,fitness_data_CSWM-01K94J-12_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PT8R07RWJ90NH26D8BH,CSWM-01K94J-13,fitness_data_CSWM-01K94J-13_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PW39KNWXR43KHRZQJ3N,CSWM-01K94J-14,fitness_data_CSWM-01K94J-14_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
01K94J9PXWSP72NZBW504KG28E,CSWM-01K94J-15,fitness_data_CSWM-01K94J-15_applewatch,Apple Watch,csv,CSWM-01K94J,UOP
